method,attack,seed,time_to_safe_set,time_to_safe_after_attack,time_to_target_after_attack,time_to_recover_after_first_violation,recovery_success,safety_violation_duration,hard_safety_violation_duration,max_level_overshoot,max_level_undershoot,pump_empty_run_count,production,production_loss,action_cost,false_recovery_count,shield_intervention_count,trust_mask_accuracy,trust_detection_precision,trust_detection_recall,trust_detection_f1,one_step_rmse,multi_step_rollout_rmse,evaluation_type,flow_deviation_cost,downstream_overload_risk
B5_NO_ROOT_CAUSE,MV101_STUCK_OPEN_HIGH_LEVEL,3,96,96,96,96,0,96,96,716.3256630196607,0.0,0,53.92070588572833,0.0,96.0,0,1,0.9933333333333334,0.9791666666666666,0.9791666666666666,0.9791666666666666,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,1.4210854715202004e-14,0
B5_NO_ROOT_CAUSE,MV101_STUCK_OPEN_HIGH_LEVEL,4,96,96,96,96,0,96,96,716.3692598997239,0.0,0,53.92070588572833,0.0,96.0,0,1,0.9833333333333332,0.9215686274509803,0.9791666666666666,0.9494949494949494,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,1.4210854715202004e-14,0
B5_NO_ROOT_CAUSE,MV101_STUCK_OPEN_P102_UNAVAILABLE,0,96,96,96,96,0,96,96,716.3334443527908,0.0,0,53.92070588572833,0.0,96.0,0,1,0.8316666666666667,0.9690721649484536,0.4895833333333333,0.6505190311418685,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,1.4210854715202004e-14,0
B5_NO_ROOT_CAUSE,MV101_STUCK_OPEN_P102_UNAVAILABLE,1,96,96,96,96,0,96,96,716.3225948576917,0.0,0,53.92070588572833,0.0,96.0,0,1,0.8283333333333334,0.9494949494949495,0.4895833333333333,0.6460481099656357,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,1.4210854715202004e-14,0
B5_NO_ROOT_CAUSE,MV101_STUCK_OPEN_P102_UNAVAILABLE,2,96,96,96,96,0,96,96,716.2965723360065,0.0,0,53.92070588572833,0.0,96.0,0,1,0.825,0.9306930693069307,0.4895833333333333,0.6416382252559727,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,1.4210854715202004e-14,0
B5_NO_ROOT_CAUSE,MV101_STUCK_OPEN_P102_UNAVAILABLE,3,96,96,96,96,0,96,96,716.3256630196607,0.0,0,53.92070588572833,0.0,96.0,0,1,0.8333333333333334,0.9791666666666666,0.4895833333333333,0.6527777777777778,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,1.4210854715202004e-14,0
B5_NO_ROOT_CAUSE,MV101_STUCK_OPEN_P102_UNAVAILABLE,4,96,96,96,96,0,96,96,716.3692598997239,0.0,0,53.92070588572833,0.0,96.0,0,1,0.8233333333333333,0.9215686274509803,0.4895833333333333,0.6394557823129251,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,1.4210854715202004e-14,0
B5_NO_ROOT_CAUSE,P101_FORCED_OFF_HIGH_LEVEL,0,96,96,96,96,0,96,96,716.3334443527908,0.0,0,11.233480392860066,42.687225492868265,96.0,0,1,0.9966666666666667,1.0,0.9791666666666666,0.9894736842105264,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,42.68722549286825,0
B5_NO_ROOT_CAUSE,P101_FORCED_OFF_HIGH_LEVEL,1,96,96,96,96,0,96,96,716.3225948576917,0.0,0,11.233480392860066,42.687225492868265,96.0,0,1,0.9966666666666667,1.0,0.9791666666666666,0.9894736842105264,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,42.68722549286825,0
B5_NO_ROOT_CAUSE,P101_FORCED_OFF_HIGH_LEVEL,2,96,96,96,96,0,96,96,716.2965723360065,0.0,0,11.233480392860066,42.687225492868265,96.0,0,1,0.9966666666666667,1.0,0.9791666666666666,0.9894736842105264,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,42.68722549286825,0
B5_NO_ROOT_CAUSE,P101_FORCED_OFF_HIGH_LEVEL,3,96,96,96,96,0,96,96,716.3256630196607,0.0,0,11.233480392860066,42.687225492868265,96.0,0,1,0.9966666666666667,1.0,0.9791666666666666,0.9894736842105264,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,42.68722549286825,0
B5_NO_ROOT_CAUSE,P101_FORCED_OFF_HIGH_LEVEL,4,96,96,96,96,0,96,96,716.3692598997239,0.0,0,11.233480392860066,42.687225492868265,96.0,0,1,0.9966666666666667,1.0,0.9791666666666666,0.9894736842105264,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,42.68722549286825,0
B5_NO_ROOT_CAUSE,P102_FORCED_OFF_HIGH_LEVEL,0,96,96,96,96,0,96,96,716.3334443527908,0.0,0,53.92070588572833,0.0,96.0,0,1,0.8400000000000001,,0.0,,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,1.4210854715202004e-14,0
B5_NO_ROOT_CAUSE,P102_FORCED_OFF_HIGH_LEVEL,1,96,96,96,96,0,96,96,716.3225948576917,0.0,0,53.92070588572833,0.0,96.0,0,1,0.8400000000000001,,0.0,,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,1.4210854715202004e-14,0
B5_NO_ROOT_CAUSE,P102_FORCED_OFF_HIGH_LEVEL,2,96,96,96,96,0,96,96,716.2965723360065,0.0,0,53.92070588572833,0.0,96.0,0,1,0.8400000000000001,,0.0,,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,1.4210854715202004e-14,0
B5_NO_ROOT_CAUSE,P102_FORCED_OFF_HIGH_LEVEL,3,96,96,96,96,0,96,96,716.3256630196607,0.0,0,53.92070588572833,0.0,96.0,0,1,0.8400000000000001,,0.0,,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,1.4210854715202004e-14,0
B5_NO_ROOT_CAUSE,P102_FORCED_OFF_HIGH_LEVEL,4,96,96,96,96,0,96,96,716.3692598997239,0.0,0,53.92070588572833,0.0,96.0,0,1,0.8400000000000001,,0.0,,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,1.4210854715202004e-14,0
