method,attack,time_to_safe_set,time_to_safe_after_attack,time_to_target_after_attack,time_to_recover_after_first_violation,recovery_success,safety_violation_duration,hard_safety_violation_duration,max_level_overshoot,max_level_undershoot,pump_empty_run_count,production,production_loss,action_cost,false_recovery_count,shield_intervention_count,trust_mask_accuracy,trust_detection_precision,trust_detection_recall,trust_detection_f1,one_step_rmse,multi_step_rollout_rmse,flow_deviation_cost,downstream_overload_risk
B5_NO_TRUST,LIT101_FDI,96.0,96.0,96.0,96.0,0.0,96.0,96.0,473.6816081205119,0.0,0.0,13.607048628002298,40.31365725772602,129.82000000000002,0.0,0.0,0.8673333333333334,1.0,0.17083333333333334,0.29102674519348126,1.904245106034739,4.258021502914971,40.31365725772602,0.0
B5_NO_WORLD_MODEL,LIT101_FDI,96.0,96.0,96.0,96.0,0.0,96.0,96.0,483.7936780216013,0.0,0.0,40.35066157115337,13.570044314574954,76.0,0.0,0.0,0.9983333333333334,0.9295998703239828,0.9895833333333334,0.9586413325923058,1.904245106034739,4.258021502914971,13.570044314574954,0.0
B5_PROPOSED,LIT101_FDI,96.0,96.0,96.0,96.0,0.0,96.0,96.0,483.7936780216013,0.0,0.0,40.35066157115337,13.570044314574954,101.00000000000003,0.0,0.0,0.9983333333333334,0.9295998703239828,0.9895833333333334,0.9586413325923058,1.904245106034739,4.258021502914971,13.570044314574954,0.0
B1_FULL_SHUTDOWN,LIT101_REPLAY,96.0,96.0,96.0,96.0,0.0,96.0,96.0,482.3333764903056,0.0,0.0,0.0,53.92070588572832,237.5,0.0,0.0,0.9983333333333334,0.9793814432989689,0.9895833333333334,0.9844559585492227,1.904245106034739,4.258021502914971,53.92070588572832,0.0
B2_RULE_BASED_FALLBACK,LIT101_REPLAY,96.0,96.0,96.0,96.0,0.0,96.0,96.0,507.7732665429642,0.0,0.0,13.570044314574961,40.35066157115335,95.0,0.0,0.0,0.9983333333333334,0.5872194163860831,0.9895833333333334,0.7370425131426536,1.904245106034739,4.258021502914971,40.35066157115335,0.0
B3_ANOMALY_PRIORITY_RECOVERY,LIT101_REPLAY,96.0,96.0,96.0,96.0,0.0,96.0,96.0,507.7732665429642,0.0,0.0,13.570044314574961,40.35066157115335,76.0,0.0,0.0,0.9983333333333334,0.5872194163860831,0.9895833333333334,0.7370425131426536,1.904245106034739,4.258021502914971,40.35066157115335,0.0
B4_WORLD_MODEL_NO_TRUST,LIT101_REPLAY,96.0,96.0,96.0,96.0,0.0,96.0,96.0,473.6816081205119,0.0,0.0,36.52911961000901,17.3915862757193,55.20000000000001,0.0,0.0,0.9633333333333335,1.0,0.7708333333333334,0.8594442207007653,1.904245106034739,4.258021502914971,17.3915862757193,0.0
B5_FULL,LIT101_REPLAY,96.0,96.0,96.0,96.0,0.0,96.0,96.0,507.7732665429642,0.0,0.0,13.570044314574961,40.35066157115335,101.00000000000003,0.0,0.0,0.9983333333333334,0.5872194163860831,0.9895833333333334,0.7370425131426536,1.904245106034739,4.258021502914971,40.35066157115335,0.0
B5_NO_ROOT_CAUSE,LIT101_REPLAY,96.0,96.0,96.0,96.0,0.0,96.0,96.0,507.7732665429642,0.0,0.0,13.570044314574961,40.35066157115335,95.0,0.0,0.0,0.9983333333333334,0.5872194163860831,0.9895833333333334,0.7370425131426536,1.904245106034739,4.258021502914971,40.35066157115335,0.0
B5_NO_SHIELD,LIT101_REPLAY,96.0,96.0,96.0,96.0,0.0,96.0,96.0,507.7732665429642,0.0,0.0,13.570044314574961,40.35066157115335,101.00000000000003,0.0,0.0,0.9983333333333334,0.5872194163860831,0.9895833333333334,0.7370425131426536,1.904245106034739,4.258021502914971,40.35066157115335,0.0
B5_NO_TRUST,LIT101_REPLAY,96.0,96.0,96.0,96.0,0.0,96.0,96.0,473.6816081205119,0.0,0.0,36.52911961000901,17.3915862757193,55.20000000000001,0.0,0.0,0.9633333333333335,1.0,0.7708333333333334,0.8594442207007653,1.904245106034739,4.258021502914971,17.3915862757193,0.0
B5_NO_WORLD_MODEL,LIT101_REPLAY,96.0,96.0,96.0,96.0,0.0,96.0,96.0,507.7732665429642,0.0,0.0,13.570044314574961,40.35066157115335,76.0,0.0,0.0,0.9983333333333334,0.5872194163860831,0.9895833333333334,0.7370425131426536,1.904245106034739,4.258021502914971,40.35066157115335,0.0
B5_PROPOSED,LIT101_REPLAY,96.0,96.0,96.0,96.0,0.0,96.0,96.0,507.7732665429642,0.0,0.0,13.570044314574961,40.35066157115335,101.00000000000003,0.0,0.0,0.9983333333333334,0.5872194163860831,0.9895833333333334,0.7370425131426536,1.904245106034739,4.258021502914971,40.35066157115335,0.0
B1_FULL_SHUTDOWN,MV101_STUCK_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,519.9816847275008,0.0,0.0,0.0,53.92070588572832,237.5,0.0,0.0,0.9966666666666667,0.9791666666666666,0.9791666666666666,0.9791666666666666,1.904245106034739,4.258021502914971,53.92070588572832,0.0
B2_RULE_BASED_FALLBACK,MV101_STUCK_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,507.7218170812627,0.0,0.0,13.659912157717844,40.260793728010476,95.0,0.0,0.0,0.8880000000000001,0.24188159266208045,0.30625,0.27025036504556654,1.904245106034739,4.258021502914971,40.260793728010476,0.0
B3_ANOMALY_PRIORITY_RECOVERY,MV101_STUCK_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,507.7218170812627,0.0,0.0,13.659912157717844,40.260793728010476,66.68,0.0,0.0,0.9926666666666666,0.9545287187039765,0.9604166666666666,0.9574475188291224,1.904245106034739,4.258021502914971,40.260793728010476,0.0
B4_WORLD_MODEL_NO_TRUST,MV101_STUCK_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,473.6816081205119,0.0,0.0,51.544274120870554,2.3764317648577573,72.12,0.0,0.0,0.9883333333333333,0.9499990955735962,0.9791666666666666,0.9642344330650134,1.904245106034739,4.258021502914971,2.3764317648577573,0.0
B5_FULL,MV101_STUCK_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,507.7218170812627,0.0,0.0,15.12991215771784,38.79079372801048,149.4,0.0,0.0,0.8863333333333333,0.30123610049307054,0.30625,0.3036955414899579,1.904245106034739,4.258021502914971,38.79079372801048,0.0
B5_NO_ROOT_CAUSE,MV101_STUCK_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,507.7218170812627,0.0,0.0,13.659912157717844,40.260793728010476,95.0,0.0,0.0,0.8880000000000001,0.24188159266208045,0.30625,0.27025036504556654,1.904245106034739,4.258021502914971,40.260793728010476,0.0
B5_NO_SHIELD,MV101_STUCK_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,507.7218170812627,0.0,0.0,15.12991215771784,38.79079372801048,149.4,0.0,0.0,0.8863333333333333,0.30123610049307054,0.30625,0.3036955414899579,1.904245106034739,4.258021502914971,38.79079372801048,0.0
