attack,method,unique_shielded_actions,mean_inflow,mean_outflow,mean_level_delta,trajectory_signature,safety_violation_duration,production_loss,production
MV101_STUCK_OPEN,B5_NO_SHIELD,2,0.40511313366486684,0.12608260131431537,0.2779210214148645,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,38.79079372801048,15.12991215771784
MV101_STUCK_OPEN,B5_NO_TRUST,4,0.34024050520375204,0.42953561767392123,-0.0904046234058624,551.929|552.347|552.727|553.134|553.495|553.889|553.393|552.964|552.497|552.063|551.616|551.187,96.0,2.3764317648577573,51.544274120870554
MV101_STUCK_OPEN,B5_NO_WORLD_MODEL,3,0.40511313366486684,0.11383260131431537,0.2901710214148534,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,40.260793728010476,13.659912157717844
MV101_STUCK_OPEN,B5_PROPOSED,2,0.40511313366486684,0.12608260131431537,0.2779210214148645,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,38.79079372801048,15.12991215771784
P101_FORCED_OFF,B1_FULL_SHUTDOWN,2,0.09067947530742254,0.0,0.08956996437180388,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,53.92070588572832,0.0
P101_FORCED_OFF,B2_RULE_BASED_FALLBACK,2,0.3044943629904847,0.0,0.30338485205481447,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,53.92070588572832,0.0
P101_FORCED_OFF,B3_ANOMALY_PRIORITY_RECOVERY,3,0.09663716567630043,0.0,0.09552765474068034,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,53.92070588572832,0.0
P101_FORCED_OFF,B4_WORLD_MODEL_NO_TRUST,4,0.02580684684630774,0.11297540523335244,-0.0882780693227041,551.929|552.347|552.727|553.134|553.495|553.889|553.393|552.964|552.497|552.063|551.616|551.187,96.0,40.36365725772602,13.557048628002295
P101_FORCED_OFF,B5_FULL,2,0.3044943629904847,0.01225,0.2911348520547978,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,52.45070588572831,1.4700000000000002
P101_FORCED_OFF,B5_NO_ROOT_CAUSE,2,0.3044943629904847,0.0,0.30338485205481447,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,53.92070588572832,0.0
P101_FORCED_OFF,B5_NO_SHIELD,2,0.3044943629904847,0.01225,0.2911348520547978,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,52.45070588572831,1.4700000000000002
P101_FORCED_OFF,B5_NO_TRUST,4,0.02580684684630774,0.11297540523335244,-0.0882780693227041,551.929|552.347|552.727|553.134|553.495|553.889|553.393|552.964|552.497|552.063|551.616|551.187,96.0,40.36365725772602,13.557048628002295
P101_FORCED_OFF,B5_NO_WORLD_MODEL,3,0.09663716567630043,0.0,0.09552765474068034,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,53.92070588572832,0.0
P101_FORCED_OFF,B5_PROPOSED,2,0.3044943629904847,0.01225,0.2911348520547978,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,52.45070588572831,1.4700000000000002
P102_FORCED_OFF,B1_FULL_SHUTDOWN,2,0.09067947530742254,0.0,0.08956996437180388,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,53.92070588572832,0.0
P102_FORCED_OFF,B2_RULE_BASED_FALLBACK,2,0.3044943629904847,0.11383260131431537,0.18955225074049545,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,40.260793728010476,13.659912157717844
P102_FORCED_OFF,B3_ANOMALY_PRIORITY_RECOVERY,3,0.09663716567630043,0.0,0.09552765474068034,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,53.92070588572832,0.0
P102_FORCED_OFF,B4_WORLD_MODEL_NO_TRUST,3,0.11649613357256008,0.3269364967524659,-0.21154987411554182,551.929|552.347|552.727|553.134|553.495|553.889|553.393|552.964|552.497|552.063|551.616|551.187,96.0,14.688326275432399,39.23237961029592
P102_FORCED_OFF,B5_FULL,2,0.3044943629904847,0.0037444934642866887,0.2996403585905277,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,53.471366670013914,0.44933921571440266
P102_FORCED_OFF,B5_NO_ROOT_CAUSE,2,0.3044943629904847,0.11383260131431537,0.18955225074049545,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,40.260793728010476,13.659912157717844
P102_FORCED_OFF,B5_NO_SHIELD,2,0.3044943629904847,0.0037444934642866887,0.2996403585905277,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,53.471366670013914,0.44933921571440266
P102_FORCED_OFF,B5_NO_TRUST,3,0.11649613357256008,0.3269364967524659,-0.21154987411554182,551.929|552.347|552.727|553.134|553.495|553.889|553.393|552.964|552.497|552.063|551.616|551.187,96.0,14.688326275432399,39.23237961029592
P102_FORCED_OFF,B5_NO_WORLD_MODEL,3,0.09663716567630043,0.0,0.09552765474068034,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,53.92070588572832,0.0
P102_FORCED_OFF,B5_PROPOSED,2,0.3044943629904847,0.0037444934642866887,0.2996403585905277,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,53.471366670013914,0.44933921571440266
